"","player.ids","rank","TotalKills","TotalDeaths","TotalShotsFired","TotalShotsLanded","TotalMeleeKills","TotalGrenadeKills","TotalTimePlayed","TotalGamesCompleted","TotalGamesWon","TotalGamesLost","TotalGamesTied","xp","HoursPlayed","WinPercent","Accuracy","Season"
"1","Sabinater",1,5554,5007,58495,34848,883,309,"P1DT23H24M28.9146812S",401,307,94,0,21165843,47,77,60,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"2","SaiyenVy",2,18160,11521,222185,136143,1289,1012,"P5DT16H41M41.5687429S",1048,694,347,7,24541970,137,66,61,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"3","RNG AcE TV",3,8527,7163,119802,63818,957,623,"P3DT1H55M54.1951769S",571,382,186,3,21193354,74,67,53,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"4","BxbyJ",4,6196,5044,89859,48988,460,368,"P2DT6H20M49.5835527S",436,320,113,3,26075081,54,73,55,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"5","Ram Van Dam",5,5297,4530,73440,39974,519,319,"P2DT1H4M21.4302981S",366,228,135,3,17401714,49,62,54,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"6","Snip3down RECs",6,7294,5480,88999,53465,612,445,"P2DT11H38M35.2050185S",478,351,126,1,22393555,60,73,60,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"7","Vennture",7,1785,1261,25366,13889,168,140,"PT14H26M48.3610116S",110,67,41,2,956141,14,61,55,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"8","Respectfuls Cat",8,2565,1684,29931,17170,315,178,"PT18H38M12.3181839S",150,111,38,1,276550,19,74,57,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"9","Goozy",9,3689,3232,50520,29635,308,285,"P1DT9H44M20.4839071S",265,149,116,0,16997528,34,56,59,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"10","iTz So Frosty",10,3570,2906,40864,25007,365,251,"P1DT4H16M3.380933S",217,138,78,1,13291249,28,64,61,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"11","Articc",11,5030,3865,51876,30025,646,360,"P1DT14H54M40.354164S",308,195,112,1,18717433,39,63,58,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"12","Commonly FLYS",12,4139,3335,62834,31769,306,350,"P1DT14H22M47.9765543S",308,234,72,2,13596737,38,76,51,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"13","SnakeBiteFPS",13,1071,766,15057,8165,76,75,"PT8H38M11.634012S",70,58,12,0,13916831,9,83,54,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"14","iPadawin",14,13265,13148,184804,102219,1396,897,"P6DT1H15M36.0696062S",1098,598,495,5,19782236,145,54,55,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"15","Shotzzy",15,3497,2640,36819,23133,337,234,"P1DT2H54M11.1535714S",211,137,74,0,11158754,27,65,63,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"16","Phluxs",16,3911,2917,68286,35324,368,133,"P1DT9H20M5.7068536S",263,226,37,0,23178988,33,86,52,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"17","aPG",17,3106,2868,49330,26798,222,250,"P1DT4H26M44.3460355S",219,158,59,2,15431489,28,72,54,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"18","Mikwen",18,8151,5554,101310,62009,507,523,"P2DT11H58M29.2727987S",457,331,124,2,11595556,60,72,61,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"19","Ola Kedavra",19,4791,3413,55159,33913,356,403,"P1DT17H29M40.8426974S",331,239,90,2,14435360,41,72,61,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"20","Th3 Kill2r",20,3123,2548,34434,20615,387,219,"P1DT1H1M36.9806166S",194,125,69,0,752673,25,64,60,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"21","WANwerd",21,3909,3251,56442,31502,361,236,"P1DT12H37M23.1645433S",283,180,103,0,12075516,37,64,56,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"22","Jimbo",22,10123,9129,139945,75581,981,826,"P3DT17H45M49.5774255S",700,394,305,1,33021607,90,56,54,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"23","Rayne 1g",23,7474,5672,90489,53140,929,418,"P2DT15H2M49.1206566S",494,325,168,1,27622336,63,66,59,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"24","Morguhhh",24,5159,4710,68268,37037,580,300,"P2DT1H36M32.4025766S",402,242,159,1,17931453,50,60,54,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"25","Severus Shooter",25,4363,2932,56395,31297,446,379,"P1DT14H21M33.8277698S",286,174,111,1,9762820,38,61,55,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"26","Nemassist MN",26,2809,2487,38382,21719,200,184,"P1DT3H26M51.791714S",204,126,77,1,15039057,27,62,57,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"27","Sparty TG",27,17059,11922,182993,120165,1679,1131,"P5DT10H15M24.8393957S",1022,719,295,8,24565430,130,70,66,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"28","bubu dubu",27,12196,8781,148840,87035,884,875,"P4DT7H9M39.9583974S",804,503,298,3,22535082,103,63,58,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"29","King Nicck",27,10661,9400,135954,79148,856,617,"P3DT17H36M24.8040665S",684,396,286,2,27051948,90,58,58,"fd8d6be5-4d26-4358-b72d-d8005852248b"
"30","Naded",30,9966,9176,142710,74954,984,715,"P4DT3H24M45.8362538S",788,527,260,1,20942254,99,67,53,"fd8d6be5-4d26-4358-b72d-d8005852248b"
