"","player.ids","rank","TotalKills","TotalDeaths","TotalShotsFired","TotalShotsLanded","TotalMeleeKills","TotalGrenadeKills","TotalTimePlayed","TotalGamesCompleted","TotalGamesWon","TotalGamesLost","TotalGamesTied","xp","HoursPlayed","WinPercent","Accuracy","Season"
"1","Naded",1,8852,6387,124022,69538,860,501,"P2DT23H17M40.1182627S",583,405,175,3,20942254,71,69,56,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"2","Sabinater",2,5667,4451,53869,35016,889,300,"P1DT20H4M20.7066965S",418,337,81,0,21165843,44,81,65,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"3","iTz So Frosty",3,4848,2957,55431,35079,456,303,"P1DT10H5M9.5401129S",282,205,77,0,13291249,34,73,63,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"4","SaiyenVy",4,8455,4710,106655,66384,676,441,"P2DT13H18M47.5396985S",507,336,168,3,24541970,61,66,62,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"5","Jimbo",5,6606,5137,95917,54205,563,483,"P2DT7H33M48.1749994S",481,298,182,1,33021607,56,62,57,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"6","eL ToWn",6,3073,2466,40139,23168,399,211,"P1DT2H52M37.0608357S",270,237,33,0,8832139,27,88,58,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"7","KG W r e c k s",7,6231,3388,69105,44550,436,362,"P1DT15H1M34.5699508S",318,211,104,3,703678,39,66,64,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"8","FlatFawn2038387",8,6358,3896,76373,46153,522,369,"P2DT3H44M31.7303934S",520,496,23,1,2179144,52,95,60,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"9","Musa eH",9,3981,2872,48301,28843,515,218,"P1DT8H47M38.0610168S",314,261,53,0,15976134,33,83,60,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"10","ComicGeoduck818",10,3815,2251,43311,28170,273,220,"P1DT1H13M25.1143136S",210,130,78,2,383085,25,62,65,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"11","Str8 SicK CS",11,3336,2131,46040,26265,335,178,"P1DT2H20M14.9323036S",244,196,48,0,19418027,26,80,57,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"12","Kourages",12,7066,5333,98585,56404,472,334,"P2DT13H18M42.5169946S",486,285,198,3,27869643,61,59,57,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"13","in ur bm dms",13,4514,3809,61006,32884,513,323,"P1DT17H10M17.6094673S",363,259,104,0,1381979,41,71,54,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"14","HCSquashy",14,4375,3691,60005,35390,549,163,"P1DT19H43M16.1106446S",375,275,99,1,11395138,44,73,59,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
