"","PlaylistId","MatchDuration","durations"
"1","5c9808b0-03a3-4577-b966-7217f9dda52d","PT6M39.5767453S",399.5767453s (~6.66 minutes)
"2","5c9808b0-03a3-4577-b966-7217f9dda52d","PT8M24.741278S",504.741278s (~8.41 minutes)
"3","5c9808b0-03a3-4577-b966-7217f9dda52d","PT6M28.5398014S",388.5398014s (~6.48 minutes)
"4","5c9808b0-03a3-4577-b966-7217f9dda52d","PT7M32.2743636S",452.2743636s (~7.54 minutes)
"5","5c9808b0-03a3-4577-b966-7217f9dda52d","PT4M32.5004633S",272.5004633s (~4.54 minutes)
"6","5c9808b0-03a3-4577-b966-7217f9dda52d","PT7M57.0231778S",477.0231778s (~7.95 minutes)
"7","5c9808b0-03a3-4577-b966-7217f9dda52d","PT7M4.3981499S",424.3981499s (~7.07 minutes)
"8","5c9808b0-03a3-4577-b966-7217f9dda52d","PT8M0.3393676S",480.3393676s (~8.01 minutes)
"9","892189e9-d712-4bdb-afa7-1ccab43fbed4","PT5M16.3220611S",316.3220611s (~5.27 minutes)
"10","892189e9-d712-4bdb-afa7-1ccab43fbed4","PT4M57.4503783S",297.4503783s (~4.96 minutes)
"11","892189e9-d712-4bdb-afa7-1ccab43fbed4","PT6M20.0415697S",380.0415697s (~6.33 minutes)
"12","892189e9-d712-4bdb-afa7-1ccab43fbed4","PT5M19.7070937S",319.7070937s (~5.33 minutes)
"13","892189e9-d712-4bdb-afa7-1ccab43fbed4","PT4M41.0087922S",281.0087922s (~4.68 minutes)
"14","892189e9-d712-4bdb-afa7-1ccab43fbed4","PT5M54.6828394S",354.6828394s (~5.91 minutes)
"15","892189e9-d712-4bdb-afa7-1ccab43fbed4","PT5M43.1942056S",343.1942056s (~5.72 minutes)
"16","892189e9-d712-4bdb-afa7-1ccab43fbed4","PT6M50.1362662S",410.1362662s (~6.84 minutes)
"17","892189e9-d712-4bdb-afa7-1ccab43fbed4","PT5M35.4790175S",335.4790175s (~5.59 minutes)
"18","892189e9-d712-4bdb-afa7-1ccab43fbed4","PT6M3.1159979S",363.1159979s (~6.05 minutes)
"19","5c9808b0-03a3-4577-b966-7217f9dda52d","PT8M24.6575084S",504.6575084s (~8.41 minutes)
"20","5c9808b0-03a3-4577-b966-7217f9dda52d","PT3M20.1820872S",200.1820872s (~3.34 minutes)
"21","5c9808b0-03a3-4577-b966-7217f9dda52d","PT9M48.5530324S",588.5530324s (~9.81 minutes)
"22","5c9808b0-03a3-4577-b966-7217f9dda52d","PT7M26.2488149S",446.2488149s (~7.44 minutes)
"23","5c9808b0-03a3-4577-b966-7217f9dda52d","PT4M24.6460045S",264.6460045s (~4.41 minutes)
"24","5c9808b0-03a3-4577-b966-7217f9dda52d","PT8M11.2577364S",491.2577364s (~8.19 minutes)
"25","5c9808b0-03a3-4577-b966-7217f9dda52d","PT7M21.6323489S",441.6323489s (~7.36 minutes)
"26","5c9808b0-03a3-4577-b966-7217f9dda52d","PT5M30.7129127S",330.7129127s (~5.51 minutes)
"27","5c9808b0-03a3-4577-b966-7217f9dda52d","PT12M21.3019735S",741.3019735s (~12.36 minutes)
